ID_Galaxia,cig,ANG_SIZE_MAJ_log,ANG_SIZE_MAJ_original
383,383,2.11,128.82495516931337
384,384,1.05,11.220184543019636
385,385,1.66,45.708818961487495
386,386,0.74,5.495408738576246
387,387,0.43,2.6915348039269156
388,388,4.89,77624.71166286911
389,389,2.33,213.79620895022325
390,390,1.08,12.02264434617413
391,391,0.9,7.943282347242816
392,392,0.8,6.309573444801933
393,393,0.58,3.8018939632056115
394,394,0.79,6.165950018614822
395,395,0.73,5.370317963702527
396,396,0.98,9.549925860214358
397,397,0.77,5.88843655355589
398,398,0.56,3.630780547701014
399,399,1.04,10.964781961431852
400,400,3.1,1258.9254117941675
401,401,1.11,12.882495516931343
402,402,1.12,13.182567385564074
403,403,0.65,4.466835921509632
404,404,0.59,3.890451449942806
405,405,0.92,8.31763771102671
406,406,0.6,3.9810717055349722
407,407,1.35,22.3872113856834
408,408,0.62,4.168693834703354
409,409,0.58,3.8018939632056115
410,410,0.77,5.88843655355589
411,411,0.81,6.456542290346556
412,412,0.42,2.6302679918953817
413,413,0.53,3.3884415613920256
414,414,0.42,2.6302679918953817
415,415,0.43,2.6915348039269156
416,416,1.66,45.708818961487495
417,417,0.49,3.0902954325135905
418,418,0.7,5.011872336272722
419,419,0.53,3.3884415613920256
420,420,1.0,10.0
421,421,1.37,23.442288153199225
422,422,2.92,831.7637711026708
423,423,2.34,218.77616239495518
424,424,0.52,3.311311214825911
425,425,0.67,4.677351412871983
426,426,0.57,3.715352290971725
427,427,0.51,3.2359365692962827
428,428,3.63,4265.795188015925
429,429,0.69,4.897788193684462
430,430,0.45,2.8183829312644537
431,431,0.55,3.548133892335755
432,432,1.03,10.715193052376065
433,433,1.17,14.791083881682072
434,434,4.51,32359.36569296281
435,435,6.7,5011872.336272725
436,436,2.64,436.5158322401661
437,437,0.99,9.772372209558107
438,438,0.54,3.4673685045253166
439,439,0.73,5.370317963702527
440,440,0.79,6.165950018614822
441,441,1.03,10.715193052376065
442,442,4.07,11748.975549395303
443,443,0.81,6.456542290346556
444,444,0.72,5.248074602497725
445,445,0.73,5.370317963702527
446,446,0.85,7.079457843841379
447,447,1.01,10.232929922807541
448,448,2.35,223.872113856834
449,449,2.78,602.5595860743575
450,450,0.53,3.3884415613920256
451,451,0.79,6.165950018614822
452,452,0.76,5.7543993733715695
453,453,1.37,23.442288153199225
454,454,0.78,6.025595860743578
455,455,4.66,45708.818961487515
456,456,0.6,3.9810717055349722
457,457,0.84,6.918309709189364
458,458,0.52,3.311311214825911
459,459,0.67,4.677351412871983
460,460,0.85,7.079457843841379
461,461,8.32,208929613.0854041
462,462,0.39,2.4547089156850306
463,463,2.0,100.0
464,464,2.38,239.88329190194898
465,465,1.04,10.964781961431852
466,466,1.39,24.547089156850298
467,467,1.32,20.892961308540396
468,468,0.8,6.309573444801933
469,469,3.98,9549.92586021436
470,470,0.83,6.760829753919817
471,471,0.75,5.623413251903491
472,472,3.55,3548.133892335753
473,473,0.85,7.079457843841379
474,474,1.12,13.182567385564074
475,475,0.65,4.466835921509632
476,476,1.32,20.892961308540396
477,477,1.52,33.11311214825911
478,478,0.64,4.36515832240166
479,479,0.65,4.466835921509632
480,480,0.78,6.025595860743578
481,481,2.23,169.82436524617444
482,482,0.72,5.248074602497725
483,483,0.92,8.31763771102671
484,484,1.62,41.68693834703355
485,485,0.52,3.311311214825911
486,486,0.74,5.495408738576246
487,487,0.71,5.1286138399136485
488,488,1.16,14.454397707459272
489,489,0.89,7.762471166286917
490,490,0.72,5.248074602497725
491,491,1.04,10.964781961431852
492,492,1.59,38.90451449942807
493,493,0.58,3.8018939632056115
494,494,0.74,5.495408738576246
495,495,0.61,4.073802778041127
496,496,1.37,23.442288153199225
497,497,0.6,3.9810717055349722
498,498,0.71,5.1286138399136485
499,499,1.16,14.454397707459272
500,500,0.98,9.549925860214358
501,501,0.93,8.511380382023766
502,502,1.02,10.471285480508996
503,503,0.36,2.290867652767773
504,504,0.45,2.8183829312644537
505,505,0.71,5.1286138399136485
506,506,0.63,4.265795188015927
507,507,1.29,19.498445997580454
508,508,0.94,8.709635899560805
509,509,1.4,25.118864315095795
510,510,0.64,4.36515832240166
511,511,0.57,3.715352290971725
512,512,2.14,138.03842646028852
513,513,0.54,3.4673685045253166
514,514,0.55,3.548133892335755
515,515,0.82,6.606934480075959
516,516,1.12,13.182567385564074
517,517,0.63,4.265795188015927
518,518,4.14,13803.842646028837
519,519,0.49,3.0902954325135905
520,520,1.0,10.0
521,521,0.86,7.244359600749901
522,522,0.54,3.4673685045253166
523,523,23.5,3.162277660168379e+23
524,524,4.82,66069.34480075965
525,525,1.34,21.87761623949553
526,526,0.72,5.248074602497725
527,527,2.67,467.73514128719813
528,528,3.48,3019.9517204020162
529,529,0.36,2.290867652767773
530,530,1.23,16.982436524617444
531,531,0.76,5.7543993733715695
532,532,0.53,3.3884415613920256
533,533,0.91,8.128305161640993
534,534,3.6,3981.0717055349733
535,535,0.44,2.7542287033381663
536,536,2.78,602.5595860743575
537,537,0.43,2.6915348039269156
538,538,0.71,5.1286138399136485
539,539,1.1,12.589254117941675
540,540,0.97,9.33254300796991
541,541,0.56,3.630780547701014
542,542,0.44,2.7542287033381663
543,543,5.87,741310.2413009177
544,544,0.85,7.079457843841379
545,545,2.81,645.6542290346556
546,546,0.73,5.370317963702527
547,547,1.94,87.09635899560806
548,548,0.82,6.606934480075959
549,549,3.87,7413.102413009177
550,550,1.83,67.60829753919819
551,551,1.98,95.49925860214358
552,552,0.84,6.918309709189364
553,553,1.42,26.302679918953814
554,554,0.72,5.248074602497725
555,555,0.42,2.6302679918953817
556,556,0.59,3.890451449942806
557,557,0.75,5.623413251903491
558,558,0.62,4.168693834703354
559,559,10.52,33113112148.259075
560,560,0.55,3.548133892335755
561,561,1.21,16.218100973589298
562,562,1.14,13.803842646028846
563,563,0.4,2.51188643150958
564,564,0.95,8.912509381337454
565,565,0.61,4.073802778041127
566,566,1.3,19.952623149688797
567,567,0.77,5.88843655355589
568,568,1.03,10.715193052376065
569,569,3.63,4265.795188015925
570,570,0.42,2.6302679918953817
571,571,1.29,19.498445997580454
572,572,1.32,20.892961308540396
573,573,0.8,6.309573444801933
574,574,0.63,4.265795188015927
575,575,1.57,37.15352290971726
576,576,1.44,27.542287033381662
577,577,0.51,3.2359365692962827
578,578,0.39,2.4547089156850306
579,579,0.85,7.079457843841379
580,580,0.7,5.011872336272722
581,581,1.9,79.43282347242814
582,582,0.49,3.0902954325135905
583,583,0.77,5.88843655355589
584,584,0.91,8.128305161640993
585,585,0.64,4.36515832240166
586,586,0.79,6.165950018614822
587,587,0.87,7.413102413009175
588,588,1.25,17.78279410038923
589,589,0.44,2.7542287033381663
590,590,1.18,15.13561248436208
591,591,1.14,13.803842646028846
592,592,0.51,3.2359365692962827
593,593,1.51,32.359365692962825
594,594,0.48,3.019951720402016
595,595,1.56,36.30780547701014
596,596,0.64,4.36515832240166
597,597,0.71,5.1286138399136485
598,598,1.23,16.982436524617444
599,599,1.07,11.748975549395297
600,600,0.41,2.5703957827688635
601,601,1.04,10.964781961431852
602,602,0.46,2.884031503126606
603,603,0.88,7.5857757502918375
604,604,3.64,4365.158322401661
605,605,2.34,218.77616239495518
606,606,0.83,6.760829753919817
607,607,0.65,4.466835921509632
608,608,0.86,7.244359600749901
609,609,1.28,19.054607179632473
610,610,23.99,9.772372209558072e+23
611,611,0.79,6.165950018614822
612,612,1.06,11.481536214968829
613,613,1.65,44.6683592150963
614,614,1.1,12.589254117941675
615,615,2.72,524.8074602497728
616,616,1.31,20.417379446695296
617,617,0.9,7.943282347242816
618,618,0.58,3.8018939632056115
619,619,0.59,3.890451449942806
620,620,0.59,3.890451449942806
621,621,2.04,109.64781961431851
622,622,1.23,16.982436524617444
623,623,0.75,5.623413251903491
624,624,4.27,18620.871366628657
625,625,2.74,549.5408738576248
626,626,3.13,1348.9628825916532
627,627,1.62,41.68693834703355
628,628,0.65,4.466835921509632
629,629,0.65,4.466835921509632
630,630,1.34,21.87761623949553
631,631,1.09,12.302687708123818
632,632,0.57,3.715352290971725
633,633,0.5,3.1622776601683795
634,634,2.96,912.0108393559096
635,635,0.96,9.120108393559097
636,636,0.59,3.890451449942806
637,637,2.41,257.03957827688646
638,638,3.2,1584.893192461114
639,639,0.55,3.548133892335755
640,640,0.44,2.7542287033381663
641,641,0.92,8.31763771102671
642,642,0.78,6.025595860743578
643,643,1.01,10.232929922807541
644,644,0.92,8.31763771102671
645,645,1.51,32.359365692962825
646,646,0.71,5.1286138399136485
647,647,0.73,5.370317963702527
648,648,0.56,3.630780547701014
649,649,0.63,4.265795188015927
650,650,0.61,4.073802778041127
651,651,0.81,6.456542290346556
652,652,1.28,19.054607179632473
653,653,1.38,23.9883291901949
654,654,0.76,5.7543993733715695
655,655,1.62,41.68693834703355
656,656,1.86,72.44359600749902
657,657,0.71,5.1286138399136485
658,658,0.66,4.570881896148751
659,659,0.86,7.244359600749901
660,660,1.03,10.715193052376065
661,661,1.15,14.12537544622754
662,662,0.79,6.165950018614822
663,663,0.58,3.8018939632056115
664,664,0.58,3.8018939632056115
665,665,0.84,6.918309709189364
666,666,1.26,18.197008586099834
667,667,0.91,8.128305161640993
668,668,2.17,147.91083881682073
669,669,1.85,70.79457843841381
670,670,1.05,11.220184543019636
671,671,0.74,5.495408738576246
672,672,1.57,37.15352290971726
673,673,0.43,2.6915348039269156
674,674,1.04,10.964781961431852
675,675,0.59,3.890451449942806
676,676,2.03,107.1519305237606
677,677,0.61,4.073802778041127
678,678,0.63,4.265795188015927
679,679,0.5,3.1622776601683795
680,680,0.81,6.456542290346556
681,681,0.73,5.370317963702527
682,682,1.84,69.18309709189366
683,683,0.69,4.897788193684462
684,684,1.17,14.791083881682072
685,685,0.65,4.466835921509632
686,686,0.99,9.772372209558107
687,687,0.43,2.6915348039269156
688,688,0.55,3.548133892335755
689,689,0.85,7.079457843841379
690,690,0.84,6.918309709189364
691,691,3.42,2630.2679918953813
692,692,1.4,25.118864315095795
693,693,0.46,2.884031503126606
694,694,1.48,30.19951720402016
695,695,0.98,9.549925860214358
696,696,0.76,5.7543993733715695
697,697,1.24,17.378008287493753
698,698,0.65,4.466835921509632
699,699,1.45,28.183829312644534
700,700,0.78,6.025595860743578
701,701,0.51,3.2359365692962827
702,702,0.9,7.943282347242816
703,703,0.46,2.884031503126606
704,704,0.78,6.025595860743578
705,705,0.61,4.073802778041127
706,706,1.28,19.054607179632473
707,707,0.7,5.011872336272722
708,708,0.73,5.370317963702527
709,709,0.7,5.011872336272722
710,710,5.81,645654.2290346549
711,711,0.97,9.33254300796991
712,712,1.77,58.8843655355589
713,713,0.58,3.8018939632056115
714,714,0.64,4.36515832240166
715,715,0.97,9.33254300796991
716,716,1.64,43.65158322401658
717,717,0.64,4.36515832240166
718,718,0.37,2.344228815319922
719,719,0.9,7.943282347242816
720,720,0.77,5.88843655355589
721,721,0.5,3.1622776601683795
722,722,1.05,11.220184543019636
723,723,1.04,10.964781961431852
724,724,2.0,100.0
725,725,0.58,3.8018939632056115
726,726,0.8,6.309573444801933
727,727,0.47,2.9512092266663856
728,728,0.67,4.677351412871983
729,729,0.57,3.715352290971725
730,730,0.82,6.606934480075959
731,731,0.64,4.36515832240166
732,732,1.34,21.87761623949553
733,733,0.89,7.762471166286917
734,734,0.91,8.128305161640993
735,735,0.78,6.025595860743578
736,736,4.45,28183.82931264455
737,737,0.74,5.495408738576246
738,738,0.63,4.265795188015927
739,739,0.7,5.011872336272722
740,740,0.69,4.897788193684462
741,741,1.11,12.882495516931343
742,742,0.47,2.9512092266663856
743,743,0.89,7.762471166286917
744,744,1.89,77.62471166286916
